"Title","URL","Text"
"Green Teams in Hospitals - Video Lecture (Sample)","https://www.youtube.com/watch?v=FrhauKS5aVc","So a green team in itself is a team of motivated members that are working together on sustainable initiative within the hospital. So for example, we at the operating room the department have a green team with surgeons that are involved, managers that are involved, nurse, the set already involved to help everyone together to implement sustainable choices. And for the LUMC green team overall, we have this network to connect one and other and to help each other with the barriers there, they are having or maybe to help them with new ideas. I would advise an organization to set up a green team because I think it's important that we accelerate this transition. And I know from practice that when we have a green team, things are happening quicker. So for example, what we want to do is we want to, instead of using a lot of disposable, we want to use more reusable. And I've seen that when you make one person or two people responsible for this task that it happens quicker than when we say, okay, we want to change to more, or using more reusable. And within a green team, you have a few members that have that motivation. They want to be responsible for one certain task. And in this way, a green team will help to, yeah, quick and distransition. In our, or our green team, we have four different pillars. The first one is reducing waste because we have a lot of waste that we're producing. The second one is focusing on disposable and reusable, because we want to use more reusable instead of disposable bowls, because we know that has a less environmental impact. We also are focusing on reducing the amount of anesthetic gases we're using in a national anesthetics. And the fourth one is also reducing the medicine residues. So you can focus on these pillars too, and also have ideas within these pillars, which you can focus on within your green team. The last thing that you can do is you can focus on more long-term goals. So for example, you say, well, in two years, we don't want to use any reusable anymore in our department. And then you do everything, and you make up for you. Come up with ideas to make sure that you achieve your goal."
"Recycling in Hospitals - Video Lecture (Sample)","https://www.youtube.com/watch?v=8hfq0Psh9yU","In this video, we show how circular strategies lead to the reduction of waste on the one hand and the creation of raw materials on the other. In collaboration with various hospitals and industry partners, we are investigating at Delph University of Technology, how we can use technology and science to turn medical waste into product. As a sustainable hospital, Modestad Hospital wants to have waste converted into new raw materials. In this video, myastad is the supplier of new raw materials with its waste. Normally, a lot of waste comes from the operating room, such as wrapping paper from instrument sets. The waste is collected in the operating room and is no longer thrown away, but recycled. The waste that is normally incinerated is now collected for further processing. The waste is transported to green cycle, a field lab in the Netherlands, where it is processed into a new raw material. The wrapping paper is melted down at a high temperature in a special melting furnace to a solid block of material with a very high period. The block is further processed in smaller pieces and granulated. The raw material is used to make new medical products via a process of injection molding. In this case, the Go Jack instrument opener. As a medical device, the instrument opener requires sea approval. It has been extensively tested on mechanical properties and is used as a medical device in a central sterilization department of myastad hospital. This is an example of the circular economy in which myastad hospital uses products made from its own waste. In this way, we make the world more sustainable and become an example for the circular health care economy."
"Climate law and Green Deal in Healthcare - Video Lecture (Sample)","https://www.youtube.com/watch?v=EkZGktwxu-M","The number of humans on our planet has grown tremendously from 1 billion in 1800 to over 8 billion in 2022. A true population explosion. While the Earth's population grew, so did our Mars Consumption Society. In health care, we experienced also a significant growth in number of patients and medical devices. After the second world war, we faced a huge global economic development with great technological technological improvements. These improvements were also implemented in the field of medical devices. The technological instruments improved. Endoscopes were fitted with 4K chips. Energy devices with complex designs were introduced and robotic surgery platforms entered the market. Medical devices made out of more different mixed materials replacing reusable devices with single use products. The hunger for plastics and steel grew as all products has to be manufactured in ever increasing volumes with more mixed materials and rare earth metals. The introduction of single-use medical devices, the so-called disposable in combination with mixed materials propelled waste streams from hospitals. Where high-income hospitals used instruments for many years, they now disposed high-valued instruments after every surgical procedure. To make people healthier, hospitals use and consume a lot of energy, food and materials. Healthcare in many high-income countries are responsible for 6-7% of all CO2 emissions and for a considerable amount of waste. This makes healthcare one of the most polluting sectors. The Green Deal healthcare contains agreements to make the healthcare sector more sustainable by reducing CO2 emissions. The healthcare sector could reduce carbon emissions that occur in the global production chain of medical goods and pharmaceuticals by applying green procurement strategies. Suppliers and healthcare organizations have a responsibility to introduce green strategies. In terms of their impact on people and the climate, they have a corporate social responsibility to help to achieve the ambitions set out in the Green Deal."
"Medical Technology and Sustainable Healthcare | Online Courses","https://www.youtube.com/watch?v=qSc__aJtF5M","For health professionals to meet evolving needs and challenges that are as diverse as the communities they serve, staying ahead is not a choice but a necessity. Our courses help professionals like you to create and work in health care systems that deliver efficient and high quality care in an affordable and accessible way. Ultimately helping them save lives every day, everywhere. Out portfolio is specifically designed for professionals such as doctors, educators, hospital staff, medical specialists and engineers. We work side-by-side with partners in hospitals and in the medical industry to code your fellow courses and ensure they reflect and respond to the latest needs. Academic knowledge does cause hand in hand with the latest research and technology called fances. We provide knowledge and tools that are globally accessible and locally relevant. This is especially significant for the countries where the need is high and the resources are limited. Our courses are available online increasing worldwide access for 1000 of professionals. It's not just theory, it's about creating real solutions. For instance, we help healthcare organizations reduce waste in their supply chain and apply circular principles. We focus on better care for patients by mapping their experiences and perspectives and by developing methods of analysis that are faster and enable better interventions. This is because we are committed to making a positive impact on our environment and on the sustainable provision of healthcare for all, everywhere. Are you ready to embrace the future of healthcare? Explore our courses. Your lifelong learning journey starts here."
"Webinar: Strategic Planning and Re-Designing Deltas - Interdisciplinary Approaches","https://www.youtube.com/watch?v=s79tuBG-qck","Welcome everyone and my name is Angelica Lentius. Welcome to the webinar hosted by the TU Delft, a Sanchez School for Continuing Education as part of the Delta Week events, leading up to the celebration of our universities and 180 seconds, Dia Snatales. I would like to give the four two Leiong-Wuow introduced himself, our speakers, and the topic of this session today. Yeah, thank you very much, Ashileek. And welcome everyone. Thank you for joining us for this for this webinar. My name is Leiong-Leion Hermons. I'm an associate professor in Water and Environmental Policy Analysis at Delft University of Technology and also at IHE Delft. And I'm really excited that we can spend the coming with each other to exchange ideas and talk about strategic planning and redesigning Delta, especially interdisciplinary approaches for doing so. What we will do in this in this in this one hour webinar, I'll give you a short introduction to the topic and how we sort of decided for the topics we would like to discuss with you in this webinar. But then we'll give the floor to our speakers who I will introduce to you during the presentations, even including the introduction. Please feel free to type any questions or comments or thoughts that you would like to share in the chat that will enable me to see them and to raise them to our speakers for you. We will do the discussion at the end of the presentation so that we can also hear combined views from both the floor and how long for you. But please feel free to type your comments and questions also out the webinar. And also please be aware that we are recording this webinar. So that you are aware of this. But then to move a bit to the topic of the webinar of strategic planning and redesigning Delta, why do I think that is such an interesting topic? Well, it's because Delta are complex systems and that means that we cannot design a Delta. Like we can maybe design some other engineering or technological artifacts. It also means that Master planning in a Delta is something different than maybe we are traditionally used to. But at the same time, of course, planning and design are still possible and are very important for Delta. And we have seen various new approaches emerging in the past few years. And what I think is an important aspect in many of these approaches is that they pay much more attention and make much more use of systems thinking. But also pay much more attention to the roles that stakeholders or actors play in Delta planning. So that is also what we decided to focus on in this webinar today. And of course, if you think about stakeholders or actors and systems, then I think nowadays the consensus is with most of the experts in the water and Delta domains that we would want to have an open and open dialogue and inclusive process and take into account the needs and the positions and the possibilities of all critical actors in our Delta plans. And we also should pay attention and integrate as much as possible. All this relevance dimensions of these complex Delta systems, meaning that it should be cross-sectoral, but also multi-level. And that is of course an ideal that we talk a lot about and that we hear a lot and I think many of us agree with that I certainly do. But at the same time, in practice, of course, integrating everything and including everyone is not possible. How would you do that? So instead, I think what we try to do is make sure we have the most important elements it included in our Delta planning and design processes and products. But then that still leaves a lot of interesting questions at the table, I think. How do we decide who are the most important stakeholders and that may also differ from one Delta to another. It may matter if we are working on a design for a more resilient Macong Delta or for the now-based Delta for the Yala River Delta in Kenya that ends up in Lake Victoria or for the right-news Delta in the Netherlands. So which stakeholders should be included? Who are the most important ones? How? Should we include it? But also what kind of stakeholder considerations do we need to take into account in making an implementing Delta plans? And of course, the stakeholders change over time. And something similar applies to system aspects. What are the most important system aspects? What are the boundaries for for planning? Making Delta plans is that maybe the urban port area that at the end of the Delta is that including the hinterland is that also even including transboundary aspects or adjacent river basin Delta and how then do we still make sure all of this is connected if not integrated, at least not in contradiction with each other. And how do we link these actors and these systems? Because of course, here we present them a little bit as different things but as I think we will hear in the presentations by by by by the end by floor. They are in fact almost impossible to separate. So they are connected and they need to be connected. And then on top of that, of course we are planning under exciting new developments, both desired developments maybe and sometimes on desired developments. And we see new opportunities arise in new technologies, especially maybe much more nature-based solutions but then combined with more traditional hard infrastructure solutions, different financing options. All of this is still partly at least uncharted waters. And the only thing we do know about interventions in complex systems is that they always will come with surprises and with unintended side effects. So that makes it really interesting I think to talk about how do we deal with stakeholder aspects and how do we make good use of system thinking approaches for redesigning Delta. And I'm very happy that we have found two experts on these topics to tell us a bit more about their ideas about this today. We will start with a presentation by Dr. Howlong-Feed, who is a senior consultant and Vice-Managing Director at Ancety, which is a consultancy company based in Asia with offices in Singapore, Vietnam and I think in Indonesia. But Dr. Feed has actually a very rich career spending different fields of work and different also places of work. So in the past for instance, he has been also the director of the Center of Water Management and Climate Change and the professor at Hotsieman City, National University or sorry-Vietnam National University. But also before that played an important role in flood control and advising on climate change for Vietnam and for Hotsieman City. And Dr. Feed will talk to us about stakeholder dynamics that are especially important for long-term Delta plans. And then after Dr. Feed, Dr. Florch, Florch in the Hotsieman City, will present. And Florch is a colleague of mine at the Policy Analysis section at TU Delft. So she is also a policy analyst with a particular interest in the role of systems thinking for generating innovative and creative solutions for wicked problems. And also very interesting is that she has taught and developed courses, also online courses for instance room for the river, perspectives on river-based and management. But also recently with colleagues published a book on complex coastal systems, transdisciplinary learning on international case studies that I think offers interesting insights. And I hope we will hear at least a bit about those in her presentation. And I think with that I have introduced what I wanted to introduce and I would like to to invite Dr. Feed to start his presentation. Thank you very much. So what I'm talking about is mostly based on my experience. Many years on Dr. Sautoncy advisory and education. I see a lot of lessons, a lot of cry on air, a lot of unanswered questions. And I try to develop a framework to explain the things and today I want to share a quick view. So you may wonder a lot of questions you might why I started a project delay on plan very well, plan not implemented at all, or even bigger, a problem like how come the populism or nationalism rise? On the democracy, donors on-way prevent social conflict. I can see the very different thing that seemed to be far away from each other. But according to my observation, they may share a course beside their own problem. They all affect the nation as simple as technical decorporation. So I was starting with the motor framework that can help as plan what happened after the process of planning. Usually the stars start with a trigger. It could be social, economic, environmental, physical, political, military, and so on. A lot of ties are thicker. The trigger can make close again in financial and technical institutional social, economic, and I call all of them a classifier as the ability of a stakeholder. And then as a result of most emotional and reasoning, we come to strong reception, the strong enough of reception, of opportunity or threat. And that is the reception is not so we may have motivation to do something and that motivation, it could be negative that we oppose or mostly support. The past see, okay, let someone have to do it, for actually we have to do it. Depends on the stresses of your perception and your ability. And then when motivation and ability come together, so we go to action. So the action planning is the very crucial step of any planning. At the time we have to decide what, where and who, where, how to do the thing and to make it happen. And that result in implementation and also, of course impact. The impact may relax the original trick somehow. I would call it the collective impact. So this part the original framework, more that we publish back in 2015. But then after that, I don't think that's enough because this framework can be applied for a project for a limited scale plan with a limited time. But for the long-term strategy planning, that very important factor that impact on individuals or on each stakeholders. Because the impact is may not be the same for all stakeholders, relevant in this implementation. You can see the pre-factor may change along the course. Click the chance ability change and motivation change. And of course, next action, next step of the roadmap was a chance to create another impact. And so the result that a look of what I call dynamic motor. So now you know, motor is the abbreviation of motivation and ability. That the two important factor of any action to happen. So that the basic of the framework. And you can see the motor framework can have improved maturity of policy or plan to identification the priority in action plan. Even right to estimate the sustainability of an implemented policy of plan. So now we come to the crucial part of the procession is the stack code. According to our framework, the classification is included form and group of actor. The actor I act as actor at B actor. So the actor mostly the act butch. And there ability mostly two data, metal, calculation, whatever. And motivation all the best before me course. And they mostly don't care about the answer about the side effect. I call it the motor. And for a actor, so there ability also defied by legitimate power and the motivation also different from the team of the and as motor, the ability and motivation of the community of the mass population. And what they have is just the power of the mass of the mass. But motivation they just focus on the mostly personal interests and brief, brief, brief sector. That be more tough. So actually one actor can combine some of the some of this ability but not typical. Just one typical for other class. And depending on the plan policy and the stage there will be one list of code. For one stack code group that the most important actor will be there to make the action happen. But because there of the limited ability, they had to establish a coalition with own relevant stack code with the answer to gain the complementary ability that he needs and also to read the confrontation. Here is some example that the group case study we did in the Macau Delta about 10 years ago. Or you can see the as group, the group T group and I group. And the one had the high motivation, also high ability is this group. So they are at least that code. But the rest still have another situation. So they make a different. Yeah. And our design, our planning that have to make the transition from the lower path to the highest path. Try to move the stack code to the highest position. The height. We can do it by considering building or capacity building. Mostly. So you can see in the case, not the old capacity building can be useful. Some types of buildings are much more important. Yeah. So with the framework, we can customize and capacity building, because they're building by which so that we can improve the maturity of a plan to be implemented. So the package should be adapted to new situation. Because the positions of this group can be changed over time. It's the example of a complementary ability example. Because it's the Macau, the preview base. Upstream is the lot of them. Them types of new in China, laws in Cambodia, but the Vietnamese Vietnam may come delta. And how can we deal with it? So far, the, um, usually they can use the institutional tool. Try to make a deal of a primary, what they should. But no use, because after the decades of negotiation, no result at all. Why? Because, you know, there's a different motivation and a bit from upstream, country and downstream country. And Vietnam, Macau Delta has no play a good cup to play in the negotiation. And what they have to do is to strengthen their motor. And look at that, the watershed resupplining for the Macau database in for the dominant act of upstream is the mostly A and B that mean the authority and perfect sector. And that my conflict and confrontation among country and community. So therefore, the downstream country had to build up T, B and S motor. Because so far, they just use the A motor to deal with the upstream. So what we have to focus in is not continue, which one, but try to strengthen this one. For example, if we managed to make a resurgence of water related life, we would have a downstream community for the people in the Macau Delta. So I've led very good leverage to deal in the trans-voterly negotiation. So in the example, I can give you the how to identify the missing. For example, in the climate change adaptation policy. So so far, the elite group actor is scientists and government with some effort. But most as and B actors still outside. Because for example, the you know, direct and current loss of some social group. And low B and S motor may thrive resistance and population. For example, the order related industry job or conversion car industry, for example. So they try to apply some incentive for EV, but still beyond people still left behind. And you can see in the on the picture on the right. We're talking about the picture. They just showed a very, you know, a residity with the broad brushless landscape. But in fact, what we have to do is strengthening the S motor. We have to share the benefit of a adaptation policy. Like more climate funding should go directly to people in poverty. Not go to incentive for the people who have to buy electric car for example. And here, you can see the stakeholder correlation dynamic. It's not from the left side. The trick now is the water scarcity. And the two options could be available. Race before or redeemed or by for the station. And then the stack of the A who support the race for idea may form a stack of the A1 to be correct. And then the farmer who get the water for the irrigation. That the motor again, the motor again, as I too. And then the value further to stack of the A3 with the whole and robustness complex. But for the opposite me, reservoir could be replaced by forestation to reduce runoff and to keep it in the basin. And then the solution is forestation, not be or that. Because when you build a dam, the migration may happen. Because if you have to relocate some people from native people within the reservoir into a not the place and then refresh station also. And then that may form a not the stack hold this let's take a seat with the social and environmental activities of pre-inpolitics and then the results of most conflict is the social polarity. And then that the trick the two for or not the planning, not the failure of planning. So just start from a very simple one. I would come to a big one. But the very big question is the okay we have the very good strategy vision. I'd like to inform you that the 15 minutes are gone. So please feel free to finish, but also mind the time a little bit. Okay I need to adjust one moment. Okay we can we have to transform from our long-term vision to the current context using action plan. And how can we do it? We can use a conventional SWAT method but separate the future and present. And then we have a lot of way to go. Yeah. And even with threat up to go to the long-term vision. And I develop also a not the tool to analyze the action planning tool, we're quantity IFF that will impact score and feasibility score. I need to see on the table. And with that we can use it for the action prior regression, resort allocation, or 25 most action conflict or actor dynamic forecasting. I use for this I analyze this side-on-dong-na river delta and explain why this solution had been chosen. Set conclusion. You can see dynamic mode can help a plan and help you to decide the action plan. So that can satisfy the maturity and also visibility of the roadmap. So thank you for your attention. Thank you very much, Fiddard. It was very interesting and sorry for cutting you short a little bit but I think we have enough also food for thought and and I think also for discussion. So I would also like to like to again invite our audience to type their comments or questions in the chat in the meantime while we continue listening to to to to flourishing with a presentation on in which system thinking is a bit more central. So flourishing the floors yours. Can you see? Are you seeing this light? Yeah, yeah, this is this is this is great. Yeah. Okay guys we practice but it's still it's not different than it would do. We practice. Okay, I hi everyone. My name is a floor chest. Thanks Leon for inviting me. Leon asked me to talk about systems thinking and redesigning Delta and and I thought that's easy. I just don't have to talk about actors and I found out in that interesting exercise for myself that I can't decouple systems perspectives from actor perspectives and I hope that after this presentation you know why. So why we see these systems perspectives and actor perspective as so complementary. I Leon already mentioned it but I work at the policy and Alice's section at the faculty of TPM so technology policy management and everyone in our faculty is in some way I think concerned with how humans interact with technology or infrastructure or the environment. And policy analysis is relatively small field. I'm not going too deep into what it is but it might be nice for you to realize that we I see it as a rational systematic way to support policy making processes. So whatever activity you do that in the end will result in a better policy advice or maybe even better decision can be constructed as policy analysis and policy analysis is usually a sequence of steps depending on who you are asking in this figure. There's a few definitions but but all of them start with okay what is that problem? What is the system that that problem exists in what do I actually want? So what are my objectives? What do I need to change and then you find alternatives? You weigh them, compare them and based on your analysis you decide which one is the best one and you give advice on that. For example and what strikes me when I was starting out my research is that all the sequences of steps they they set they say oh well compare these alternatives but I know no one really went into what what do these alternatives come from. So who is designing here and why and are we not why are we not getting light as policy analysis on this design phase and can we do that in different way or can it bring us something. So I started out with years ago with a PhD I wanted to go design in coastal systems so with people and I built it on anchored on systems thinking meaning first I earlier in my research I try to understand what the system was and how things are interlinked I'll tell a bit about that later how you do that and then I figured okay well in these models the system models that I make I make assumptions and can I not use expertise of others of other other researchers or maybe expertise of people actually living in such a coastal system can I use that to enrich my own system understanding and another step further is can we then design together and find different solutions so that this was all these were the questions I was struggling with and maybe still I'm still struggling with um first of all what is the system right but what are we talking about when we talk about systems and again you can find many definitions but know that we systems are constructed and they are part of reality that is being studied as a result of their existence or suspicion of a problem so problems and systems are somewhat related they systems um um are built from system elements and inter connections there's also system boundary and whatever is outside the system boundary is not in our system and because they're constructed because we make them we get to choose what those boundaries are and what we include in our analysis and what we exclude what is the environment that influences that system and so that systems and complex systems laying on already mentioned that we study complex systems complex systems are the systems that are so complex that you can't understand the behavior of the overall system even if you would know all the parts together so they behave those complex systems behaving in a different different and more unpredictable way so really interesting right and because you have a choice as whatever you are if you're a project manager or if you have a project and you have a complex delta system for example you get to choose what you analyze in that system and I chose I'm looking at social ecological systems so I look at systems in which I look at the biology of physical environment and natural system so if I was actually interested in coastal system but you can also think of similarly like you can think of delta systems in which water and nature the physical part of the systems are important but also humans so humans interact with that environment and you see you can think of interventions in that space would be technologies or dikes or infrastructure but the physical environment also responds back to human system so maybe this is fake maybe you think oh this is but very broad definition of what such a complex system is and that was more or less the intention I kind of want to load okay what is what are we looking here as here for coasts and delta's and you can imagine that because we get to construct these systems ourselves you have different system perspectives so if you have a little small coastal issue for example here erosion on Tesla island the first barrier island in the Netherlands then your system your scope or geographical scope is much smaller than if you look at another problem such as the high water a few weeks ago this is from the Dutch National News and you see where the water was high or extremely high and if this looks a lot wider the broader the system perspective here but still you see that the Dutch News took the perspective of the Netherlands so we we all know that the Rhine doesn't start here it starts somewhere in the ops but we didn't consider that so there's always something outside your system and something in and you get to choose and similarly to those spatial scales that we use we can also consider interest are we looking at only flood risk if you looked at the news the last few weeks it was a lot about high water flood risk but also about nature and we heard foresters say hey those high water managed floods was actually quite beneficial a blessing for nature because it will increase by our diversity in the long term because this part of nature gets more water than they initially expected and in addition to that you can think of other aspects that you can make your system define your system in your jurisdictional levels temporal scales certain people look for instance engineers and built the dieg for to last 100 years but an agriculture someone who lives in a coast or so might think of the seasons or of the Fenia they're kids sorry they're kids so there's different there same goes for governance layers there's European level the national level regional level and all these perspectives and things you can choose but also add some complexity to that system that you're analyzing and the question now for me was okay does that then affect design is the system that we define in the beginning how the fact solutions we find for the problem later on and the line of thinking here is if I care if I stereotype it's similar to if you would think okay an engineer really designs for safety like their primary objective is flood safety or flood risk prevention then you can imagine that they would design a very high concrete dieg for water and that's but if you would design for also nature you can think of more dynamic solutions such as sediments similarly we saw this shift in the 20th century in the Netherlands in water management where first flood prevention was much more important and later stakeholder interests and also nature conservation became more more important and was the value different by society even I just want to say that if you're interested in how these perspectives can alter design there's a few moves that I know of that image you practice that so you get to design a particular particular problem and then see how it changes if you do it according to different design principles there must be more I know of these maybe laying on lay on concepts on life from that or to the UDL website later another example in which we see that perspective can alter design is for instance in the room for the river program and this is a famous example in which you see him here on the right hand the object of our interest in the initial design the designer set okay well we need to move this agricultural person this farmer is company because this part of the land should be able to be flooded by the river so you need to move and then there was a community based initiative in which the farmer proposed well I can stay there I can allow for the higher water I will take that risk and I built an elevated bit which we in touch would call a turpe but in a small land elevation here and in case of high tide over extreme high water I will go there and my cattle will go there and it will only be a few times per decade so that's fine with me and you see there that the community perspective brought a new solution that the designers initially hadn't considered because they had assumed that that person would not want to do that and want to move entirely so the question if you're then designing or trying to find solutions is which knowledge do you include and I'm framing it here in a interdisciplinary way and that means that you use scientific knowledge which you always use if you're looking at such complex delta systems because there is so much expertise about can like think of it like hydrologist ecologist biologist they all know little bits about that delta system of a government experts so you can imagine that you need that knowledge and you know that it's somewhat scattered so there is a whole process of who I'm getting and what knowledge am I using and on the other hand there is a societal knowledge space so actors and and their interests are there and you can we now know that the community can also bring knowledge and no stuff, no things about their environment that maybe are said in a different language or in different formalism but are still can contribute to getting all right solution or good one and you also I saw this in a case that I did for my PhD so it was called Coco Channel project because we like nice acronyms was a local erosion problem on tessel if you would look at it purely for the law and for flood risk then there was too much erosion that was allowed by law and then you can do if you look in a particular system perspective which is somewhat narrow you can think of I will either we have to change the rules on the law or we have to nourish more and we did a whole participatory go design process and we found there was that the willingness of the people living there and earning their livelihoods in particularly some beach pavilion so people earning their money from from tourism there or actually willing to move if they were financially compensated and then we so but that solution was then not considered before by the government authorities because they had ideas about fairness and equality if we give this person some money to move should we then also give other people other actors money or similar compensation so there was a whole assumption about values and equality that was not but which didn't come up in earlier analysis and in this in this research you're saying there were more solutions and you can frame that as a solution space and if you think that design is choosing which I think it is in a way if you design something you make choices you make a set of coherent choices in a solution space and if you can imagine it like this if you have only one choice like if it's the diek medium or high or what what height is the diek then you get you can make that as a one dimensional space with which is a line right and then you can slide and think of that choice and if you have to make more choices which usually have to do then you create a space which it will also dimensional space which I had tried to draw like this on the slide and as such design or code design is a way to identify trade-offs if you do a participatory with each other and you see if you do that then you will have to the the price of that is that there's this other thing and if you so you make trade-offs and you can identify trade-offs if you would only ask them which you like nature which you like this and say yeah I want to save the idea I want nature and I want it cheaply so those trade-offs really become become clear in designing or designing together. Similar to fear I'm going to be your talk but we are past the 15 minutes so please finish but finish. So mind the time and that is it. I've finished as a gift slide in which I try to stay how we try to compare different gay studies around the world. I wanted to highlight an example from Ireland in which we also saw that if you include community stakeholders they actually really wanted to be engaged but they didn't know how to access the policy making process which I think is a nice example also from feast talks how do you even if they have the capability how do they get access to policy making space and hear the solution that they identified in in a research was that the course of actions you'll be bottom up and community integrated. So the solution was in the social subsystem and not in the technical solution for water management problem. This is my last slide. If you can remember one thing think about okay systems are constructed I construct systems so what am I including in in my initial analysis and that will have effect on the solutions you'll find later on. That's enough for me today thank you. Great thank you thank you Florchin and I think you I think we didn't mention but I think it's very clear from your presentation your introduction but also this this everything in between till this last slide that you actually not just work for tea yourself but for the multi-actor systems department to you. So actors and systems are well well connected. If you if you like you can stop sharing your screen. Then then then we have some time for for discussion for questions and answers. I haven't seen a huge number of questions yet in the chat so I would once again want to invite everyone if you have comments or questions please type them in the chat we have some 10 minutes to discuss so I think there is some room to address some of your concerns if you have them. I found it really interesting to see that with your presentation Florchin we got into actually again also that not just the systems but the stakeholders and how actually working in in systems thinking with stakeholders helps to shape the solution space but also maybe broaden the the the the set of alternatives where as I think the approach that that fee was was presenting on the dynamic motor is it's a bit more of an analytic approach to to capture what what is going on and then based on that maybe also think about your your interventions. So so I think that's that's a nice nice complementary and different ways to to to to look at fairly similar things how to actors and systems in insturtegic dealt a planning play your role and influence each other maybe something you would want to reflect on but but first I saw that there was one very clear request and for for for fee to to if he could again show the action planning to maybe answer league can put that slide up and then maybe I think it was Mr. Machiaa Anno while well fee maybe you explain a little bit what is on this slide and while you do so for me please also add then how I mean have you used this already in practice and if so how and how did others respond to this like maybe stakeholders in government that you have worked with maybe you could add a bit on that while you tell us a little bit more about this action planning to yeah that may also then allow Mr. Machiaa Anno to to make his question a bit more precise and then type it in the chat. Okay thank you then so I can see on the table it's a horizontal scale is the multasco. multasco is the products of motivation and ability so it is based on survey based on survey so we have to to conduct a lot of survey and especially the social survey very big for example for the Macon Delta we did a thousand questionnaires just to ask people so question just to understand their motivation then what what they want and what they can and what put me the complementary ability that they need something like that and also we have to for the provincial planning or training so we we talk with a lot of private sector hundred of them to see what they want to be in part of this strategic planning to be contribute to division that the multasco but then again multasco is not you know I introduce a not a squad that we're going to impact squad the impact here it could be negative or most of results of a specific action if we do something so the outcome may except on some impact on relevant stakeholders and impact is not good at all and then with this scale it's a very simple scale of minus two up to maximum two and here again minus two two sub-voice div and negative and if you can't collect it the product of this she you can see the result minus two minus two is four at the same for happy number in the table and and we do do you have some results for for using this method or or the earlier versions of the motor method in Vietnam that's another question yes yeah to understand the chat that relates a little bit maybe to this slide that we're looking at yeah the multasco we have to go back to the not as slide that to how to show you how to calculate the multasco but the thing um that uh just a calculation based on your scale set in questionnaire but the required lot of machine at the other side is that coded and the e-packs call you have a loss and again sub-rom loss and again you can determine the dynamic of actor so they may lead the group or the other on a not one may join the original group so that dynamic can be explained by the impact factor because yeah and based on that we can uh have a three application first if you look at the bottom rise corner that meet you some guide what you should do and what should be the priority and if you look at the upper left corner so you can see the opposite don't and loss because that the actor may be act maybe maybe the counter actor and then maybe their potential confrontation yeah and and I think maybe the the question was also interested in in fairly practical application and I am aware of maybe not that not the newer evolution of the dynamic motor but more traditional motor being applied in in studies to I'm not sure I don't recall the exact details of the studies but commissioned by the World Bank for instance in the Vietnamese, Macong Delta but also actually taken up by by by a research consultancy group from Australia our working in the United States but I would like to move on in in view of time because I see we we almost are hours finished so uh actually thank you for sharing the slides and I would like to move to another question which I also found quite intriguing which is how do we which is posed by C. there are no apologies for my pronunciation or for for your name but about community perception and whether this is now a one or a two two way issue and and how you you you deal with that and maybe also how do you deal with the fact that maybe that communication about the perception is in in a way of course never ending and I was thinking maybe if you could reflect a bit on that yeah I think um I am reading also the question how can we convince the community for moving out of the flood zone and I think um what I saw in so in just two examples I gave it there are more examples that I wouldn't want in the test so why you see that um the resistance to moving is not as big as we would have initially thought so local stakeholders especially we see this especially in for people who live in or near esteries the data so they have contact with water and they are quite aware of long term risks and also willing to to move so I think that assumption that they're not is maybe too strict. Okay yeah thanks and actually as I see that that that the questions are are quite numerous now and and some I think are actually also quite quite hard to to answer some for some we may be able to to share a few pointers to do some further information on on both of your approaches and presentations but with that also looking at the clock I think we have had a very rich one hour and we are we are getting to to to a close so um so let me uh close by um by by thank giving a really warm thanks and a plus to to Dr. Florge and Dr. Fee for sharing their their knowledge with us your your views and while while doing so also learning things yourself that is I think always the best way and to thank the audience for for joining for participating for your comments and questions and also I saw in the chat for actually also answering each other's questions that is even the most useful so I'm really happy to see that this was a quite interactive webinar this way um the webinar is is hosted by the Teo Delft Extension School for Continuing Education and at the end of this webinar I would like to to to bring your attention to the fact that actually at Teo Delft there is a large range of online courses on various topics but definitely also including the topic of today's webinar and of this uh the is Natal is week of Teo Delft on redesigning Delta's. Florge already I think mentioned them also but the QR code on this slide and the link here should enable you to see the collection of courses that is most directly relevant for for the topics we have been discussing here and um one specific um small program in the in this in this portfolio is actually directly on the topic we were discussing here systems and actor approaches for for water and strategy planning and that's also a program that is being offered and the next version of that program actually starts quite soon next month early February um so with that at with once again thinking everyone for their for their contributions and participation's most notably uh three and Florge um I would like to to close uh to close this this webinar so thank you all very much for joining I hope you have enjoyed it as I have and hope to see you in the future again maybe some of you in real life but others maybe uh in the physical space bye everyone"
